video_id,split,action,true_count,pred_count,abs_err,pred_periods_json,true_periods_json,primary_signal,mean_confidence,n_rejects,n_crossings,n_candidates,n_accepted,reject_fail_vote,reject_fail_phi,reject_fail_r,moving_fraction,mean_var_norm,mean_flip_rate,mean_pause_rate,conf_phase,conf_r,conf_var,conf_flip,conf_pause,status,method
stu10_43,test,push_up,17,1,16,"[[755,823]]","[[4,106],[106,200],[200,287],[288,376],[376,471],[471,567],[567,664],[798,916],[916,1015],[1015,1106],[1106,1211],[1211,1304],[1304,1397],[1398,1482],[1482,1576],[1576,1668],[1668,1757]]",elbow_flex,0.7292853714346889,3,21,4,1,3,9,0,0.9194366197183098,1.4207875891809103,0.21091657099119787,0.7636165577342049,0.41382516363432986,0.8574795210475598,0.25566016939450414,0.5576632851249101,0.18999129053616198,ok,phase_native_online_phase_crossing
stu10_48,test,push_up,5,5,0,"[[295,346],[346,397],[564,637],[775,829],[829,889]]","[[244,322],[322,368],[368,422],[738,798],[798,853]]",elbow_flex,0.7074824104248052,11,19,16,5,11,26,0,0.8916562889165629,1.367447169818597,0.21848217845024465,0.7272850694718702,0.5294877141713696,0.934096475787368,0.27821050918776713,0.577600900360007,0.21146745617964582,ok,phase_native_online_phase_crossing
stu4_47,test,push_up,37,32,5,"[[132,156],[156,183],[183,209],[209,228],[228,262],[262,283],[283,311],[311,342],[342,363],[363,389],[389,422],[422,446],[446,471],[471,496],[524,542],[542,599],[599,625],[625,652],[652,682],[682,712],[712,740],[740,771],[771,804],[804,834],[834,871],[871,906],[906,953],[953,997],[997,1036],[1281,1364],[1364,1417],[1417,1465]]","[[84,104],[105,132],[132,156],[156,187],[188,214],[215,241],[242,266],[267,292],[293,319],[321,343],[344,366],[368,396],[397,423],[424,452],[454,476],[476,502],[504,529],[531,556],[557,584],[587,607],[609,639],[642,663],[664,697],[698,724],[728,759],[759,787],[789,817],[818,850],[853,888],[889,935],[937,976],[979,1019],[1019,1096],[1324,1391],[1394,1436],[1440,1528],[1533,1623]]",elbow_flex,0.7452751941246335,11,47,43,32,11,24,0,0.9509078681909886,1.1689013453903028,0.14612208580056935,0.5769243620295698,0.7702428788142066,0.9101916737958355,0.34350180048299067,0.6969930573470002,0.3017814044025368,ok,phase_native_online_phase_crossing
stu5_62,test,squat,32,27,5,"[[127,158],[158,191],[191,225],[225,259],[259,294],[294,327],[327,359],[359,394],[394,429],[429,463],[463,498],[498,533],[533,569],[569,604],[604,640],[640,681],[1086,1124],[1124,1163],[1163,1204],[1204,1242],[1242,1283],[1283,1325],[1325,1366],[1366,1406],[1406,1448],[1448,1496],[1496,1537]]","[[74,104],[104,134],[134,171],[171,204],[204,236],[236,268],[268,302],[302,337],[337,371],[371,407],[407,446],[446,479],[479,512],[512,546],[546,583],[583,619],[619,654],[654,990],[990,1027],[1027,1065],[1065,1101],[1101,1138],[1138,1181],[1181,1219],[1219,1258],[1258,1300],[1300,1343],[1343,1385],[1385,1425],[1425,1470],[1470,1510],[1510,1559]]",knee_flex,0.7637019529459679,13,43,40,27,13,29,1,0.946969696969697,1.028159859899811,0.15309528934700858,0.6182540205216382,0.7729398496880705,0.843094136804526,0.39416997458802916,0.7118942021110721,0.268308650002408,ok,phase_native_online_phase_crossing
stu8_71,test,squat,4,1,3,"[[189,253]]","[[1,53],[53,128],[128,204],[204,288]]",knee_flex,0.7582334167745711,1,4,2,1,1,3,1,0.8784722222222222,1.0914391414985023,0.16693121693121693,0.8366477272727273,0.58073875009878,0.7702811910932916,0.34298102928326224,0.6482841398704349,0.15768894882408735,ok,phase_native_online_phase_crossing
stu9_36,test,pull_up,11,7,4,"[[125,183],[183,239],[239,303],[303,366],[366,426],[426,478],[563,606]]","[[20,82],[82,144],[144,202],[202,261],[261,323],[323,387],[387,444],[444,504],[504,566],[566,631],[631,702]]",elbow_flex,0.706991219200049,0,10,7,7,0,0,0,0.9328671328671329,1.4044739214735802,0.24737863172931482,0.654847813454541,0.9551643136919703,0.9326260897389548,0.2575229903327205,0.5043872728643924,0.24113736295903032,ok,phase_native_online_phase_crossing
stu9_64,test,squat,14,8,6,"[[131,198],[198,275],[275,345],[345,426],[669,757],[757,837],[837,927],[1101,1164]]","[[61,126],[127,203],[203,273],[273,345],[345,426],[426,515],[515,594],[594,670],[670,761],[761,847],[847,927],[927,1008],[1008,1093],[1093,1169]]",knee_flex,0.7553148897946078,0,13,8,8,0,0,0,0.928087986463621,1.2272264926654328,0.10865259149608403,0.7964058101547737,0.9817512628996996,0.9328065025945216,0.3120419116582636,0.7437290267050212,0.1768744336133088,ok,phase_native_online_phase_crossing
test1454,test,pull_up,6,5,1,"[[78,99],[99,121],[185,208],[228,251],[271,295]]","[[25,66],[66,109],[109,151],[151,199],[199,243],[243,286]]",elbow_flex,0.7304499945931713,7,13,12,5,7,16,1,0.9217391304347826,0.9517660635989637,0.10558775525404053,0.6262407111138996,0.6527981768258474,0.8829743305313311,0.41681544836091583,0.7765576157652577,0.2780197908637944,ok,phase_native_online_phase_crossing
train2508,test,pull_up,4,1,3,"[[81,124]]","[[41,90],[90,133],[133,241],[241,299]]",elbow_flex,0.7560406075361731,0,4,1,1,0,0,0,0.9081632653061225,1.1069208256064857,0.18253968253968253,0.689922480620155,0.9812067299440873,1.0,0.33974264940796095,0.6034609895884785,0.2207736970907229,ok,phase_native_online_phase_crossing
val1244,test,squat,1,0,1,[],"[[5,109]]",knee_flex,0.0,2,4,2,0,2,6,0,0.9294605809128631,1.1952371763115146,0.136437908496732,0.8945868945868947,0.2550778688568518,1.0,0.309649315842622,0.7176071611069275,0.13946128193851992,ok,phase_native_online_phase_crossing
stu10_64,train,squat,2,1,1,"[[169,199]]","[[0,105],[105,352]]",knee_flex,0.5940558502263585,3,7,4,1,3,8,1,0.8469945355191257,1.6042556186212642,0.34069602851701164,0.6326388888888889,0.35846621438429127,0.8559030738178838,0.2183264774438901,0.39123533917742437,0.27848486372216996,ok,phase_native_online_phase_crossing
