video_id,split,action,true_count,pred_count,abs_err,pred_periods_json,true_periods_json,primary_signal,mean_confidence,n_rejects,n_crossings,n_candidates,n_accepted,reject_fail_vote,reject_fail_phi,reject_fail_r,moving_fraction,status,method
stu10_43,test,push_up,17,1,16,"[[755,823]]","[[4,106],[106,200],[200,287],[288,376],[376,471],[471,567],[567,664],[798,916],[916,1015],[1015,1106],[1106,1211],[1211,1304],[1304,1397],[1398,1482],[1482,1576],[1576,1668],[1668,1757]]",elbow_flex,0.7060152524791037,2,22,3,1,2,6,0,0.9203786191536748,ok,phase_native_online_phase_crossing
stu10_48,test,push_up,5,5,0,"[[295,346],[346,397],[564,637],[749,775],[775,829]]","[[244,322],[322,368],[368,422],[738,798],[798,853]]",elbow_flex,0.7645347894963477,9,23,14,5,9,23,0,0.8937853107344633,ok,phase_native_online_phase_crossing
stu4_47,test,push_up,37,27,10,"[[132,156],[163,183],[183,209],[209,228],[228,262],[283,311],[311,342],[363,389],[389,422],[422,446],[446,471],[471,496],[511,524],[524,542],[599,625],[625,652],[652,682],[682,712],[712,740],[740,771],[771,804],[804,834],[834,871],[906,953],[953,997],[1281,1364],[1417,1465]]","[[84,104],[105,132],[132,156],[156,187],[188,214],[215,241],[242,266],[267,292],[293,319],[321,343],[344,366],[368,396],[397,423],[424,452],[454,476],[476,502],[504,529],[531,556],[557,584],[587,607],[609,639],[642,663],[664,697],[698,724],[728,759],[759,787],[789,817],[818,850],[853,888],[889,935],[937,976],[979,1019],[1019,1096],[1324,1391],[1394,1436],[1440,1528],[1533,1623]]",elbow_flex,0.8008498345208563,11,48,38,27,11,25,0,0.9537537537537537,ok,phase_native_online_phase_crossing
stu5_62,test,squat,32,23,9,"[[96,127],[127,158],[158,191],[191,225],[225,259],[259,294],[294,327],[327,359],[359,394],[394,429],[498,533],[604,640],[640,681],[827,850],[1086,1124],[1124,1163],[1204,1242],[1242,1283],[1283,1325],[1325,1366],[1366,1406],[1406,1448],[1448,1496]]","[[74,104],[104,134],[134,171],[171,204],[204,236],[236,268],[268,302],[302,337],[337,371],[371,407],[407,446],[446,479],[479,512],[512,546],[546,583],[583,619],[619,654],[654,990],[990,1027],[1027,1065],[1065,1101],[1101,1138],[1138,1181],[1181,1219],[1219,1258],[1258,1300],[1300,1343],[1343,1385],[1385,1425],[1425,1470],[1470,1510],[1510,1559]]",knee_flex,0.8099924517812158,9,45,32,23,9,24,1,0.9491978609625669,ok,phase_native_online_phase_crossing
stu8_71,test,squat,4,1,3,"[[189,253]]","[[1,53],[53,128],[128,204],[204,288]]",knee_flex,0.7215039524653178,1,4,2,1,1,3,1,0.8817567567567568,ok,phase_native_online_phase_crossing
stu9_36,test,pull_up,11,2,9,"[[303,366],[426,478]]","[[20,82],[82,144],[144,202],[202,261],[261,323],[323,387],[387,444],[444,504],[504,566],[566,631],[631,702]]",elbow_flex,0.9317651395014145,0,10,2,2,0,0,0,0.9251336898395722,ok,phase_native_online_phase_crossing
stu9_64,test,squat,14,3,11,"[[198,275],[837,927],[1101,1164]]","[[61,126],[127,203],[203,273],[273,345],[345,426],[426,515],[515,594],[594,670],[670,761],[761,847],[847,927],[927,1008],[1008,1093],[1093,1169]]",knee_flex,0.7486974621806365,0,13,3,3,0,0,0,0.9297385620915033,ok,phase_native_online_phase_crossing
test1454,test,pull_up,6,1,5,"[[271,295]]","[[25,66],[66,109],[109,151],[151,199],[199,243],[243,286]]",elbow_flex,0.6328783963594863,8,13,9,1,8,18,1,0.9361702127659575,ok,phase_native_online_phase_crossing
train2508,test,pull_up,4,0,4,[],"[[41,90],[90,133],[133,241],[241,299]]",elbow_flex,0.0,0,4,0,0,0,0,0,0.91,ok,phase_native_online_phase_crossing
val1244,test,squat,1,0,1,[],"[[5,109]]",knee_flex,0.0,2,4,2,0,2,6,0,0.9314516129032258,ok,phase_native_online_phase_crossing
stu10_64,train,squat,2,0,2,[],"[[0,105],[105,352]]",knee_flex,0.0,2,8,2,0,2,6,1,0.844559585492228,ok,phase_native_online_phase_crossing
stu1_50,train,push_up,13,5,8,"[[150,182],[322,342],[759,822],[1091,1125],[1211,1246]]","[[504,545],[545,587],[587,636],[636,694],[694,749],[771,814],[814,866],[866,931],[931,996],[1005,1045],[1045,1103],[1103,1160],[1160,1225]]",elbow_flex,0.6369311211877116,12,31,17,5,12,33,2,0.9200652528548124,ok,phase_native_online_phase_crossing
stu3_38,train,pull_up,9,2,7,"[[393,407],[1051,1070]]","[[10,87],[87,161],[161,237],[237,328],[329,427],[427,570],[570,673],[673,862],[862,1087]]",elbow_flex,0.5794208493310333,49,85,51,2,49,129,8,0.957685664939551,ok,phase_native_online_phase_crossing
stu3_44,train,push_up,11,4,7,"[[155,182],[182,219],[295,326],[375,415]]","[[19,61],[156,193],[193,230],[230,269],[269,306],[306,339],[339,387],[387,428],[429,471],[471,512],[512,548]]",elbow_flex,0.7493952325265455,9,22,13,4,9,22,0,0.8032564450474898,ok,phase_native_online_phase_crossing
stu3_48,train,push_up,54,45,9,"[[116,134],[165,234],[545,565],[565,579],[593,615],[615,638],[661,685],[693,707],[707,730],[730,752],[752,775],[775,797],[797,820],[842,865],[865,888],[888,910],[910,932],[963,979],[979,1002],[1002,1025],[1025,1048],[1048,1070],[1070,1096],[1096,1116],[1116,1141],[1141,1164],[1164,1189],[1189,1213],[1221,1237],[1237,1261],[1261,1288],[1288,1314],[1314,1338],[1338,1362],[1370,1388],[1388,1414],[1424,1437],[1442,1467],[1467,1494],[1505,1524],[1524,1546],[1554,1576],[1586,1617],[1623,1658],[1667,1696]]","[[14,42],[42,89],[89,115],[115,137],[137,160],[461,505],[505,533],[533,557],[557,580],[580,602],[602,626],[627,650],[650,675],[675,697],[697,719],[719,741],[741,765],[765,786],[786,809],[809,832],[832,854],[854,878],[878,903],[903,922],[922,945],[945,968],[968,992],[992,1014],[1014,1039],[1039,1067],[1067,1094],[1094,1115],[1115,1136],[1136,1159],[1159,1184],[1184,1211],[1211,1232],[1232,1258],[1258,1277],[1277,1305],[1305,1329],[1329,1353],[1353,1380],[1380,1406],[1406,1433],[1433,1461],[1461,1489],[1489,1510],[1510,1541],[1541,1572],[1572,1608],[1608,1645],[1645,1688],[1688,1736]]",elbow_flex,0.7686828376628718,24,85,69,45,24,67,0,0.9644194756554307,ok,phase_native_online_phase_crossing
stu3_60,train,squat,4,1,3,"[[136,176]]","[[8,65],[65,111],[111,150],[150,187]]",knee_flex,0.9643695480204043,0,3,1,1,0,0,0,0.8894230769230769,ok,phase_native_online_phase_crossing
stu3_72,train,squat,1,0,1,[],"[[127,299]]",knee_flex,0.0,1,2,1,0,1,3,0,0.9026845637583892,ok,phase_native_online_phase_crossing
stu4_36,train,pull_up,6,4,2,"[[420,443],[721,770],[807,838],[975,1017]]","[[56,113],[476,549],[578,684],[688,767],[838,907],[942,1015]]",elbow_flex,0.6808150140062555,28,50,32,4,28,80,3,0.8792134831460674,ok,phase_native_online_phase_crossing
stu5_34,train,pull_up,52,34,18,"[[160,172],[172,183],[183,194],[194,205],[205,217],[217,227],[227,239],[239,250],[250,263],[263,275],[275,288],[288,301],[301,326],[326,344],[451,461],[461,472],[483,493],[516,532],[532,552],[552,572],[750,772],[772,790],[790,814],[856,914],[914,984],[995,1007],[1051,1075],[1075,1095],[1095,1119],[1201,1224],[1301,1360],[1376,1395],[1395,1410],[1466,1527]]","[[91,102],[102,113],[113,124],[124,136],[136,145],[145,156],[156,167],[168,179],[179,189],[189,201],[201,211],[211,222],[222,234],[234,246],[246,256],[256,269],[269,281],[281,294],[294,309],[314,331],[440,453],[453,465],[465,475],[475,486],[486,499],[499,523],[524,542],[542,562],[562,586],[696,709],[709,720],[720,731],[731,743],[743,755],[755,779],[779,803],[804,829],[976,988],[988,1000],[1000,1011],[1011,1022],[1022,1034],[1034,1045],[1045,1058],[1068,1084],[1088,1103],[1103,1130],[1347,1366],[1366,1384],[1384,1401],[1402,1417],[1417,1445]]",elbow_flex,0.793309611759184,18,64,52,34,18,48,0,0.9280442804428044,ok,phase_native_online_phase_crossing
stu5_44,train,push_up,12,3,9,"[[212,260],[811,849],[912,985]]","[[148,205],[205,256],[256,315],[315,373],[373,430],[430,493],[913,972],[972,1044],[1045,1121],[1179,1257],[1257,1333],[1333,1421]]",elbow_flex,0.6270526417391143,11,31,14,3,11,27,1,0.898989898989899,ok,phase_native_online_phase_crossing
stu6_27,train,pull_up,5,0,5,[],"[[2,64],[67,130],[178,256],[268,325],[343,404]]",elbow_flex,0.0,5,11,5,0,5,14,0,0.9397590361445783,ok,phase_native_online_phase_crossing
stu6_45,train,push_up,10,3,7,"[[364,443],[512,594],[683,757]]","[[75,155],[156,258],[259,339],[339,408],[408,489],[489,552],[552,630],[630,711],[711,790],[795,866]]",elbow_flex,0.9455479790010161,0,11,3,3,0,0,0,0.8909853249475891,ok,phase_native_online_phase_crossing
stu7_46,train,push_up,16,7,9,"[[80,112],[112,144],[144,177],[207,239],[768,804],[928,970],[970,1009]]","[[9,41],[41,72],[72,106],[106,136],[136,170],[171,201],[201,234],[643,691],[691,724],[724,763],[763,801],[801,842],[842,885],[885,923],[923,964],[965,1010]]",elbow_flex,0.8538356202197389,13,36,20,7,13,35,0,0.8841584158415842,ok,phase_native_online_phase_crossing
stu8_39,train,pull_up,16,7,9,"[[115,145],[242,278],[284,315],[326,353],[539,567],[607,642],[642,658]]","[[1,22],[22,48],[48,73],[73,123],[123,159],[159,200],[200,240],[240,294],[294,336],[336,379],[379,423],[423,481],[481,534],[534,584],[584,638],[638,690]]",elbow_flex,0.6783710690750109,19,55,26,7,19,45,1,0.9730538922155688,ok,phase_native_online_phase_crossing
stu8_68,train,squat,3,1,2,"[[101,139]]","[[113,160],[160,210],[210,272]]",knee_flex,0.7143808176832359,1,5,2,1,1,2,0,0.8608058608058609,ok,phase_native_online_phase_crossing
stu9_42,train,pull_up,30,23,7,"[[278,302],[308,339],[339,362],[368,393],[428,452],[458,483],[488,513],[525,547],[547,574],[574,599],[603,628],[671,689],[689,714],[719,749],[760,780],[790,812],[812,844],[844,868],[912,937],[948,972],[987,1011],[1069,1107],[1114,1185]]","[[183,221],[221,251],[251,282],[282,313],[313,344],[344,372],[372,402],[402,431],[431,461],[461,491],[491,520],[520,549],[549,576],[577,607],[607,634],[634,663],[663,692],[692,723],[723,751],[752,784],[784,816],[816,848],[848,881],[881,915],[915,952],[952,991],[991,1029],[1029,1072],[1072,1119],[1179,1229]]",elbow_flex,0.6744979670394365,14,63,37,23,14,34,1,0.9593425605536332,ok,phase_native_online_phase_crossing
stu9_54,train,push_up,26,15,11,"[[190,239],[245,292],[298,347],[549,568],[568,590],[590,620],[655,692],[692,751],[805,859],[927,980],[1093,1134],[1143,1184],[1493,1540],[1710,1750],[1772,1791]]","[[145,207],[208,265],[265,310],[310,359],[359,405],[405,448],[449,523],[523,593],[593,654],[654,708],[708,764],[764,819],[819,875],[875,946],[946,1000],[1000,1053],[1053,1106],[1106,1149],[1149,1199],[1199,1338],[1338,1471],[1476,1528],[1528,1573],[1573,1627],[1627,1672],[1672,1766]]",elbow_flex,0.7071392869322357,10,47,25,15,10,25,0,0.9126268320180383,ok,phase_native_online_phase_crossing
test2298,train,squat,2,0,2,[],"[[22,94],[149,220]]",knee_flex,0.0,1,3,1,0,1,3,0,0.8729096989966555,ok,phase_native_online_phase_crossing
test2317,train,squat,3,2,1,"[[97,126],[230,267]]","[[21,108],[109,196],[196,284]]",knee_flex,0.7349988787960147,3,10,5,2,3,9,1,0.9103448275862069,ok,phase_native_online_phase_crossing
test2323,train,squat,2,0,2,[],"[[0,129],[144,292]]",knee_flex,0.0,2,4,2,0,2,5,0,0.9087837837837838,ok,phase_native_online_phase_crossing
stu10_39,valid,pull_up,10,4,6,"[[109,144],[234,269],[485,542],[847,880]]","[[62,102],[102,139],[139,181],[181,223],[223,269],[269,342],[342,398],[398,459],[459,539],[774,897]]",elbow_flex,0.6717225451430684,23,38,27,4,23,59,1,0.9394939493949395,ok,phase_native_online_phase_crossing
stu1_39,valid,pull_up,6,10,4,"[[129,157],[328,371],[371,418],[505,554],[705,746],[746,764],[764,789],[821,865],[1066,1108],[1139,1197]]","[[49,99],[99,143],[143,190],[190,256],[324,365],[365,415]]",elbow_flex,0.7299142524606572,12,38,22,10,12,29,2,0.9068454481298518,ok,phase_native_online_phase_crossing
stu1_47,valid,push_up,6,0,6,[],"[[63,138],[138,216],[216,300],[300,404],[404,497],[497,579]]",elbow_flex,0.0,0,6,0,0,0,0,0,0.9165275459098498,ok,phase_native_online_phase_crossing
stu3_50,valid,push_up,28,10,18,"[[89,120],[120,156],[194,229],[265,310],[395,437],[437,480],[609,653],[884,931],[975,1022],[1073,1125]]","[[21,49],[49,89],[89,123],[123,155],[155,192],[192,226],[226,264],[264,309],[309,347],[347,387],[387,435],[435,481],[481,532],[532,569],[569,614],[614,661],[661,704],[704,756],[756,803],[803,852],[852,892],[892,941],[941,982],[982,1028],[1028,1076],[1076,1134],[1134,1178],[1178,1230]]",elbow_flex,0.9246377320465523,0,27,10,10,0,0,0,0.942741935483871,ok,phase_native_online_phase_crossing
stu3_66,valid,squat,9,3,6,"[[291,344],[556,606],[606,656]]","[[180,227],[227,282],[282,337],[337,391],[392,450],[450,494],[494,553],[553,600],[600,649]]",knee_flex,0.8351387860716852,0,8,3,3,0,0,0,0.9344490934449093,ok,phase_native_online_phase_crossing
stu5_71,valid,squat,19,9,10,"[[122,177],[243,307],[323,376],[376,426],[491,533],[684,733],[752,787],[805,840],[953,989]]","[[19,64],[64,118],[118,185],[185,244],[244,308],[308,369],[369,425],[425,486],[486,539],[539,590],[590,634],[634,684],[684,736],[736,787],[787,839],[839,889],[889,942],[942,989],[989,1030]]",knee_flex,0.7578930824666089,2,21,11,9,2,6,1,0.9029411764705882,ok,phase_native_online_phase_crossing
stu6_57,valid,squat,15,4,11,"[[334,382],[406,455],[546,592],[955,992]]","[[45,126],[127,210],[210,275],[275,358],[358,421],[421,494],[496,564],[564,639],[639,712],[712,802],[1121,1201],[1203,1270],[1273,1355],[1355,1421],[1422,1495]]",knee_flex,0.7358061332362432,21,43,25,4,21,57,1,0.9298013245033112,ok,phase_native_online_phase_crossing
stu7_66,valid,squat,13,2,11,"[[232,314],[842,911]]","[[6,65],[65,134],[138,202],[209,293],[295,374],[377,446],[446,524],[524,600],[600,670],[674,746],[749,819],[819,888],[892,965]]",knee_flex,0.7713488868120248,3,10,5,2,3,7,0,0.9326530612244898,ok,phase_native_online_phase_crossing
stu8_37,valid,pull_up,10,12,2,"[[146,195],[269,284],[405,420],[434,457],[457,471],[471,516],[555,567],[666,705],[705,718],[816,849],[894,928],[1174,1232]]","[[122,231],[231,315],[315,402],[402,493],[493,580],[580,680],[680,784],[784,908],[908,1044],[1044,1199]]",elbow_flex,0.679852427616663,35,87,47,12,35,85,3,0.9559748427672956,ok,phase_native_online_phase_crossing
train2716,valid,push_up,10,2,8,"[[131,175],[227,249]]","[[1,32],[32,62],[62,90],[90,121],[121,154],[154,183],[183,213],[213,244],[244,272],[273,299]]",elbow_flex,0.6327012092695172,2,8,4,2,2,4,0,0.918918918918919,ok,phase_native_online_phase_crossing
